"2616";"Pole Barn Stout";483;"Oatmeal Stout";16.0;0.055;"31"
"2615";"Pale";483;"American Pale Ale (APA)";16.0;0.054000000000000006;"37"
"2614";"Yoshi's Nectar";483;"California Common / Steam Beer";16.0;0.053;"27"
"2613";"Feel Like Maplin' Love";465;"Oatmeal Stout";16.0;0.055;"N/A"
"2612";"Father's Beer";465;"Belgian Pale Ale";16.0;0.05;"N/A"
"2611";"The 26th";465;"American IPA";16.0;0.06;"N/A"
"2610";"The Gadget";465;"American IPA";16.0;0.064;"90"
"2609";"Tribute";107;"American Pale Ale (APA)";12.0;0.057999999999999996;"58"
"2608";"Wrath of Pele";190;"American Brown Ale";16.0;0.065;"N/A"
"2607";"Black Beer'd";190;"American Black Ale";16.0;0.068;"N/A"
"2606";"Mr. Tea";190;"Fruit / Vegetable Beer";24.0;0.078;"N/A"
"2605";"Tip Off";107;"Altbier";16.0;0.052000000000000005;"29"
"2604";"Blonde Czich";472;"American Blonde Ale";16.0;0.049;"23"
"2603";"Galaxyfest";364;"American IPA";16.0;0.065;"N/A"
"2602";"Citrafest";364;"American IPA";16.0;0.05;"45"
"2601";"Deduction";341;"Dubbel";12.0;0.08;"22"
"2600";"Gone A-Rye";381;"American Double / Imperial IPA";16.0;0.085;"90"
"2599";"Sex Panther";176;"American Porter";12.0;0.069;"20"
"2598";"Tart Side of the Barrel";4;"American Double / Imperial Stout";16.0;0.098;"N/A"
"2597";"Linnaeus Mango IPA";4;"American IPA";16.0;0.06;"N/A"
"2596";"Heavy Lifting";331;"American IPA";12.0;0.062;"80"
"2595";"Bastian";205;"American Strong Ale";12.0;;"N/A"
"2594";"Surfrider";319;"American Pale Ale (APA)";16.0;0.052000000000000005;"35"
"2593";"Grapefruit Sculpin";1;"American IPA";12.0;0.07;"N/A"
"2592";"Liberty Ale";3;"American IPA";12.0;0.059000000000000004;"N/A"
"2591";"Weiss Weiss Baby";140;"Kristalweizen";12.0;0.045;"N/A"
"2590";"Czech Yo Self";140;"Czech Pilsener";12.0;0.055;"45"
"2589";"Raja";90;"American Double / Imperial IPA";12.0;0.08;"N/A"
"2588";"Cow Creek";21;"American Amber / Red Lager";12.0;0.054000000000000006;"26"
"2587";"Vanilla Porter";164;"American Porter";16.0;0.07;"11"
"2586";"Blueberry Blonde";249;"Fruit / Vegetable Beer";12.0;0.06;"N/A"
"2585";"Galaxy IPA";249;"American IPA";16.0;0.075;"60"
"2584";"Gose";44;"Gose";16.0;0.046;"8"
"2583";"Vermont Pilsner";44;"German Pilsener";16.0;0.048;"20"
"2582";"Mosaic Single Hop IPA";44;"American IPA";16.0;0.055;"N/A"
"2581";"Lost Galaxy";44;"American IPA";16.0;0.045;"N/A"
"2580";"Gose";20;"Gose";16.0;0.035;"N/A"
"2579";"Jah Mon";215;"American IPA";12.0;0.05;"100"
"2578";"IPA";3;"American IPA";12.0;0.065;"N/A"
"2577";"Summer Wheat";3;"American Pale Wheat Ale";12.0;0.045;"N/A"
"2576";"Fist City";32;"American Pale Ale (APA)";12.0;0.055;"40"
"2575";"Wooden Rooster";369;"Tripel";16.9;0.085;"34"
"2574";"4Beans";17;"Baltic Porter";12.0;0.1;"52"
"2573";"Raspberry Berliner Weisse";318;"Berliner Weissbier";12.0;0.055;"N/A"
"2572";"Hop Session";318;"American IPA";12.0;0.05;"N/A"
"2571";"Blueberry Berliner Weisse";318;"Berliner Weissbier";12.0;0.055;"N/A"
"2570";"Berliner Weisse";318;"Berliner Weissbier";12.0;0.055;"N/A"
"2569";"Easy Jack";348;"American IPA";12.0;0.045;"47"
"2568";"Take Two Pils";151;"German Pilsener";12.0;0.055;"35"
"2567";"Flying Mouse 8";377;"American Porter";12.0;0.04;"N/A"
"2566";"Flying Mouse 4";377;"American IPA";12.0;0.07;"70"
"2565";"Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale";90;"Quadrupel (Quad)";19.2;0.128;"N/A"
"2564";"Lee Hill Series Vol. 4 - Manhattan Style Rye Ale";90;"Rye Beer";19.2;0.10400000000000001;"N/A"
"2563";"Lee Hill Series Vol. 2 - Wild Saison";90;"American Wild Ale";19.2;0.068;"24"
"2562";"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout";90;"American Double / Imperial Stout";19.2;0.099;"51"
"2561";"Lee Hill Series Vol. 1 - Barrel Aged Brown Ale";90;"American Brown Ale";19.2;0.076;"N/A"
"2560";"Blood Orange Saison";90;"Saison / Farmhouse Ale";12.0;0.06;"N/A"
"2559";"Blood of the Unicorn";32;"American Amber / Red Ale";16.0;0.065;"N/A"
"2558";"Moar";82;"English India Pale Ale (IPA)";12.0;0.044000000000000004;"44"
"2557";"Uber Lupin Schwarz IPA";82;"American Double / Imperial IPA";16.0;0.083;"N/A"
"2556";"Nordic Blonde";82;"American Blonde Ale";12.0;0.057;"27"
"2555";"Ginger Peach Saison";369;"Saison / Farmhouse Ale";16.0;0.048;"20"
"2554";"Moped Traveler";408;"American Pale Ale (APA)";16.0;0.055;"N/A"
"2553";"Mazzie";290;"American Pale Ale (APA)";12.0;0.054000000000000006;"45"
"2552";"Painted Turtle";172;"American Pale Ale (APA)";12.0;0.045;"N/A"
"2551";"Waterkeeper";151;"Hefeweizen";12.0;0.057;"N/A"
"2550";"Weissenheimer";129;"Hefeweizen";12.0;0.052000000000000005;"16"
"2549";"Make It So";139;"Extra Special / Strong Bitter (ESB)";12.0;0.053;"40"
"2548";"Beasts A'Burnin'";4;"Rauchbier";16.0;0.07;"N/A"
"2547";"Beach Cruiser";71;"Hefeweizen";12.0;0.045;"N/A"
"2546";"Perzik Saison";90;"Saison / Farmhouse Ale";12.0;0.064;"N/A"
"2545";"Passion Fruit Prussia";161;"Berliner Weissbier";12.0;0.035;"11"
"2544";"Send Help";161;"American Blonde Ale";12.0;0.045;"18"
"2543";"Todd the Axe Man";109;"American IPA";16.0;0.07200000000000001;"N/A"
"2542";"Verdun";4;"Bière de Garde";16.0;0.077;"N/A"
"2541";"Barrel Aged Triomphe";4;"Belgian IPA";16.0;0.065;"N/A"
"2540";"Citra Ass Down";39;"American IPA";16.0;0.08199999999999999;"68"
"2539";"The Brown Note";39;"American Brown Ale";16.0;0.05;"20"
"2538";"Neomexicanus Native";68;"American Pale Ale (APA)";12.0;0.06;"46"
"2537";"Monkey Dancing On A Razor Blade";32;"Belgian IPA";24.0;0.085;"N/A"
"2536";"Tripel Deke";32;"Tripel";24.0;0.08199999999999999;"N/A"
"2535";"Vinyl Frontier";32;"American Double / Imperial IPA";24.0;0.083;"N/A"
"2534";"Disco Superfly";32;"American IPA";24.0;0.08;"N/A"
"2533";"Misty Mountain Hop";32;"American IPA";24.0;0.075;"N/A"
"2532";"One-Hit Wonderful";32;"Belgian IPA";24.0;0.075;"N/A"
"2531";"En Parfaite Harmonie";32;"Saison / Farmhouse Ale";24.0;0.065;"N/A"
"2530";"Daft Funk";32;"Berliner Weissbier";24.0;0.043;"8"
"2529";"Love In An Ellavator";32;"American IPA";24.0;0.075;"N/A"
"2528";"Spin Doctor";32;"American Pale Ale (APA)";24.0;0.053;"N/A"
"2527";"OktoberFiesta";118;"";12.0;0.053;"27"
"2526";"Texicali";118;"American Brown Ale";12.0;0.065;"33"
"2525";"Pinata Protest";118;"Witbier";12.0;0.06;"N/A"
"2524";"Bat Outta Helles";118;"Munich Helles Lager";12.0;0.042;"20"
"2523";"Original";118;"American Amber / Red Ale";12.0;0.068;"N/A"
"2522";"Rye Wit";118;"Witbier";12.0;0.042;"10"
"2521";"Soul Doubt";118;"American IPA";12.0;0.059000000000000004;"70"
"2520";"Yo Soy Un Berliner";118;"Berliner Weissbier";12.0;0.044000000000000004;"5"
"2519";"Bimini Twist";363;"American IPA";12.0;0.07;"82"
"2518";"Beach Blonde";363;"American Blonde Ale";12.0;0.05;"N/A"
"2517";"Rod Bender Red";363;"American Amber / Red Ale";12.0;0.059000000000000004;"N/A"
"2516";"Farmer's Daughter Blonde";419;"American Blonde Ale";16.0;0.051;"17"
"2515";"Pump House IPA";419;"American IPA";16.0;0.055;"45"
"2514";"Suicide Blonde IPA";419;"Belgian IPA";16.0;0.07;"N/A"
"2513";"Vanilla Porter";419;"American Porter";16.0;0.047;"25"
"2512";"Honey Rye";419;"Rye Beer";16.0;0.057999999999999996;"18"
"2511";"Long Leaf";473;"American IPA";16.0;0.071;"75"
"2510";"Honey Badger Blonde";473;"American Blonde Ale";16.0;0.047;"19"
"2509";"Porter (a/k/a Black Gold Porter)";473;"American Porter";16.0;0.06;"23"
"2508";"Jalapeno Pale Ale";19;"American Pale Ale (APA)";16.0;0.055;"45"
"2507";"Double Duckpin";69;"American Double / Imperial IPA";12.0;0.085;"90"
"2506";"Old Pro";69;"Gose";12.0;0.042;"10"
"2505";"Abbey's Single (2015- )";129;"Abbey Single Ale";12.0;0.049;"22"
