532;"Against the Grain Brewery";"Louisville";"KY"
533;"Frankenmuth Brewery";"Frankenmuth";"MI"
534;"Hop Valley Brewing Company";"Springfield";"OR"
535;"Swamp Head Brewery";"Gainesville";"FL"
536;"Crow Peak Brewing Company";"Spearfish";"SD"
537;"Half Full Brewery";"Stamford";"CT"
538;"Utah Brewers Cooperative";"Salt Lake City";"UT"
539;"Midnight Sun Brewing Company";"Anchorage";"AK"
540;"Big Storm Brewing Company";"Odessa";"FL"
541;"Angry Orchard Cider Company";"Cincinnati";"OH"
542;"Westbrook Brewing Company";"Mt. Pleasant";"SC"
543;"Glabrous Brewing Company";"Pineland";"ME"
544;"Pine Street Brewery";"San Francisco";"CA"
545;"Lone Tree Brewing Company";"Lone Tree";"CO"
546;"Blue Mountain Brewery";"Afton";"VA"
547;"Churchkey Can Company";"Seattle";"WA"
548;"Slanted Rock Brewing Company";"Meridian";"ID"
549;"Cisco Brewers";"Nantucket";"MA"
550;"Jack's Abby Craft Lagers";"Framingham";"MA"
551;"Dick's Brewing Company";"Centralia";"WA"
552;"Buckeye Brewing";"Cleveland";"OH"
553;"Dave's Brewfarm";"Wilson";"WI"
554;"Twisted Pine Brewing Company";"Boulder";"CO"
555;"Great River Brewery";"Davenport";"IA"
556;"TailGate Beer";"San Diego";"CA"
557;"MacTarnahans Brewing Company";"Portland";"OR"
558;"Half Acre Beer Company";"Chicago";"IL"
559;"David's Ale Works";"Diamond Springs";"CA"
